deviceUid,appName,deviceSerialNumber,installPath,installDateTimeUtc,osName,major,minor,appId,appPublisher,appVersion,firstDetectDateTimeUtc,lastScanDateTimeUtc
082bbc5e-506a-4688-82bc-e667aa17f3ac,TightVNC,5CD42275ML,c:\program files\tightvnc,2024-08-02T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-08-02T21:58:55.591Z,2024-12-20T15:31:15.735Z
109bdcbd-4147-4650-8753-a42ad2c6b691,TightVNC,5CG4311L6S,c:\program files\tightvnc,2024-12-06T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-12-07T00:23:34.615Z,2024-12-20T20:07:20.935Z
16ce18eb-d73c-4829-9589-1807bf20bd60,TightVNC,5CD43928QD,c:\program files\tightvnc,2024-12-20T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-12-20T17:48:19.289Z,2024-12-20T19:53:53.536Z
1ad09ff3-8a3f-47d0-bac1-022570b6a50c,TightVNC,4CE336D54Z,c:\program files\tightvnc,2024-08-02T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-10-01T18:52:58.354Z,2024-12-20T15:31:28.108Z
1d65ef02-f879-476d-a19a-5abdc56b697f,TightVNC,5CD42275M2,c:\program files\tightvnc,2024-08-07T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-10-01T14:21:57.736Z,2024-12-20T19:22:59.232Z
2ee8047f-85fe-477e-a16d-6c46869270a1,TightVNC,5CD410J5WZ,c:\program files\tightvnc,2024-07-31T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-10-01T00:12:28.142Z,2024-12-20T13:00:46.128Z
325bb6de-915b-42b5-a206-bef082e74318,TightVNC,5CD410J5RP,c:\program files\tightvnc,2024-07-31T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-10-01T13:42:34.595Z,2024-12-20T19:57:04.373Z
3e015c48-f180-4dc1-b66e-e896d894d59c,TightVNC,4CE336D58R,c:\program files\tightvnc,2024-09-04T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-09-30T23:58:34.23Z,2024-12-20T14:32:13.512Z
3efd073e-bb8c-4141-a69e-ac33897763ac,TightVNC,5CD42275MM,c:\program files\tightvnc,2024-07-31T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-10-01T15:58:59.266Z,2024-12-20T15:11:15.545Z
5e3b5599-dbd7-4d31-9832-345fec26e474,TightVNC,5CD401CJP9,c:\program files\tightvnc,2024-05-09T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-11-18T19:57:59.875Z,2024-12-20T14:26:07.324Z
71b50010-bbbf-4af9-b20e-c3e8dd862934,TightVNC,5CD42275MS,c:\program files\tightvnc,2024-07-25T05:00:00Z,Microsoft Windows 11 Pro,2.0,8.0,0005f8a9-26f2-3f3a-99b7-5ff6fd863459,GlavSoft,2.8.81.0,2024-10-01T14:56:43.151Z,2024-12-20T16:56:41.199Z
